sweep,iteration,magnetization,magnetization_per_site,abs_magnetization_per_site,energy_per_site,acceptance_rate
314,80384,246,0.9609375000,0.9609375000,-1.8593750000,0.0507812500
315,80640,244,0.9531250000,0.9531250000,-1.8437500000,0.0742187500
316,80896,238,0.9296875000,0.9296875000,-1.7812500000,0.0664062500
317,81152,236,0.9218750000,0.9218750000,-1.7656250000,0.0820312500
318,81408,232,0.9062500000,0.9062500000,-1.6562500000,0.0859375000
319,81664,234,0.9140625000,0.9140625000,-1.7656250000,0.1210937500
320,81920,246,0.9609375000,0.9609375000,-1.8437500000,0.0703125000
321,82176,256,1.0000000000,1.0000000000,-2.0000000000,0.0195312500
322,82432,256,1.0000000000,1.0000000000,-2.0000000000,0.0234375000
323,82688,250,0.9765625000,0.9765625000,-1.9062500000,0.0117187500
324,82944,244,0.9531250000,0.9531250000,-1.8281250000,0.0351562500
325,83200,232,0.9062500000,0.9062500000,-1.7031250000,0.0390625000
326,83456,232,0.9062500000,0.9062500000,-1.7031250000,0.1015625000
327,83712,226,0.8828125000,0.8828125000,-1.5781250000,0.1210937500
328,83968,238,0.9296875000,0.9296875000,-1.7343750000,0.0781250000
329,84224,230,0.8984375000,0.8984375000,-1.7031250000,0.1250000000
330,84480,238,0.9296875000,0.9296875000,-1.7968750000,0.0546875000
331,84736,226,0.8828125000,0.8828125000,-1.6875000000,0.0859375000
332,84992,226,0.8828125000,0.8828125000,-1.6718750000,0.1015625000
333,85248,230,0.8984375000,0.8984375000,-1.6562500000,0.1015625000
334,85504,226,0.8828125000,0.8828125000,-1.6093750000,0.1015625000
335,85760,226,0.8828125000,0.8828125000,-1.6562500000,0.0859375000
336,86016,234,0.9140625000,0.9140625000,-1.7500000000,0.0859375000
337,86272,222,0.8671875000,0.8671875000,-1.6718750000,0.0859375000
338,86528,232,0.9062500000,0.9062500000,-1.7187500000,0.0976562500
339,86784,232,0.9062500000,0.9062500000,-1.7500000000,0.1015625000
340,87040,242,0.9453125000,0.9453125000,-1.8281250000,0.0742187500
341,87296,242,0.9453125000,0.9453125000,-1.7968750000,0.0468750000
342,87552,226,0.8828125000,0.8828125000,-1.6718750000,0.0937500000
343,87808,216,0.8437500000,0.8437500000,-1.6562500000,0.1054687500
344,88064,224,0.8750000000,0.8750000000,-1.7968750000,0.0859375000
345,88320,232,0.9062500000,0.9062500000,-1.7812500000,0.0859375000
346,88576,242,0.9453125000,0.9453125000,-1.8593750000,0.0351562500
347,88832,244,0.9531250000,0.9531250000,-1.8437500000,0.0429687500
348,89088,236,0.9218750000,0.9218750000,-1.7656250000,0.0390625000
349,89344,244,0.9531250000,0.9531250000,-1.8125000000,0.0468750000
350,89600,236,0.9218750000,0.9218750000,-1.7343750000,0.0546875000
351,89856,244,0.9531250000,0.9531250000,-1.8593750000,0.0546875000
352,90112,246,0.9609375000,0.9609375000,-1.8593750000,0.0664062500
353,90368,244,0.9531250000,0.9531250000,-1.8281250000,0.0585937500
354,90624,240,0.9375000000,0.9375000000,-1.7968750000,0.0703125000
