step,x,y,u
0,10,8,1.074823474574e-08
0,11,8,3.322204805713e-08
0,12,8,9.414916820505e-08
0,13,8,2.446286952536e-07
0,14,8,5.827726164014e-07
0,15,8,1.272892421265e-06
0,16,8,2.549089540333e-06
0,17,8,4.680360520688e-06
0,18,8,7.879058953793e-06
0,19,8,1.216102605387e-05
0,20,8,1.720944695534e-05
0,21,8,2.232875123962e-05
0,22,8,2.656212296722e-05
0,23,8,2.897089797334e-05
0,24,8,2.897089797334e-05
0,25,8,2.656212296722e-05
0,26,8,2.232875123962e-05
0,27,8,1.720944695534e-05
0,28,8,1.216102605387e-05
0,29,8,7.879058953793e-06
0,30,8,4.680360520688e-06
0,31,8,2.549089540333e-06
0,32,8,1.272892421265e-06
0,33,8,5.827726164014e-07
0,34,8,2.446286952536e-07
0,35,8,9.414916820505e-08
0,36,8,3.322204805713e-08
0,37,8,1.074823474574e-08
0,38,8,3.188223144489e-09
0,39,8,8.670838624470e-10
0,40,8,2.162092762963e-10
0,41,8,4.942974487314e-11
0,42,8,1.036103738938e-11
0,43,8,1.991218594513e-12
0,44,8,3.508612963399e-13
0,45,8,5.668299826737e-14
0,46,8,8.395972187429e-15
0,47,8,0.000000000000e+00
0,0,9,0.000000000000e+00
0,1,9,3.087156157296e-14
0,2,9,2.084204940282e-13
0,3,9,1.290099094152e-12
0,4,9,7.321609228027e-12
0,5,9,3.809700611026e-11
0,6,9,1.817506511838e-10
0,7,9,7.949904831533e-10
0,8,9,3.188223144489e-09
0,9,9,1.172293391596e-08
0,10,9,3.952071104409e-08
0,11,9,1.221557765176e-07
0,12,9,3.461816902677e-07
0,13,9,8.994872373851e-07
0,14,9,2.142825191490e-06
0,15,9,4.680360520688e-06
0,16,9,9.372872246672e-06
0,17,9,1.720944695534e-05
0,18,9,2.897089797334e-05
0,19,9,4.471547263754e-05
0,20,9,6.327825884342e-05
0,21,9,8.210167963315e-05
0,22,9,9.766757159092e-05
0,23,9,1.065245144507e-04
0,24,9,1.065245144507e-04
0,25,9,9.766757159092e-05
0,26,9,8.210167963315e-05
0,27,9,6.327825884342e-05
0,28,9,4.471547263754e-05
0,29,9,2.897089797334e-05
0,30,9,1.720944695534e-05
0,31,9,9.372872246672e-06
0,32,9,4.680360520688e-06
0,33,9,2.142825191490e-06
0,34,9,8.994872373851e-07
0,35,9,3.461816902677e-07
0,36,9,1.221557765176e-07
0,37,9,3.952071104409e-08
0,38,9,1.172293391596e-08
0,39,9,3.188223144489e-09
0,40,9,7.949904831533e-10
0,41,9,1.817506511838e-10
0,42,9,3.809700611026e-11
0,43,9,7.321609228027e-12
0,44,9,1.290099094152e-12
0,45,9,2.084204940282e-13
0,46,9,3.087156157296e-14
0,47,9,0.000000000000e+00
0,0,10,0.000000000000e+00
0,1,10,1.040751464737e-13
0,2,10,7.026335027739e-13
0,3,10,4.349221268647e-12
0,4,10,2.468283151241e-11
0,5,10,1.284337846586e-10
0,6,10,6.127233181564e-10
0,7,10,2.680096074306e-09
0,8,10,1.074823474574e-08
0,9,10,3.952071104409e-08
0,10,10,1.332334219939e-07
0,11,10,4.118152657627e-07
0,12,10,1.167058233708e-06
0,13,10,3.032378707532e-06
0,14,10,7.223957399914e-06
0,15,10,1.577857361019e-05
0,16,10,3.159811173291e-05
0,17,10,5.801701052199e-05
0,18,10,9.766757159092e-05
0,19,10,1.507461601317e-04
0,20,10,2.133255890593e-04
0,21,10,2.767836772158e-04
0,22,10,3.292598851870e-04
0,23,10,3.591186800934e-04
0,24,10,3.591186800934e-04
0,25,10,3.292598851870e-04
0,26,10,2.767836772158e-04
0,27,10,2.133255890593e-04
0,28,10,1.507461601317e-04
0,29,10,9.766757159092e-05
0,30,10,5.801701052199e-05
0,31,10,3.159811173291e-05
0,32,10,1.577857361019e-05
0,33,10,7.223957399914e-06
0,34,10,3.032378707532e-06
0,35,10,1.167058233708e-06
0,36,10,4.118152657627e-07
0,37,10,1.332334219939e-07
0,38,10,3.952071104409e-08
0,39,10,1.074823474574e-08
0,40,10,2.680096074306e-09
0,41,10,6.127233181564e-10
0,42,10,1.284337846586e-10
0,43,10,2.468283151241e-11
0,44,10,4.349221268647e-12
0,45,10,7.026335027739e-13
0,46,10,1.040751464737e-13
0,47,10,0.000000000000e+00
0,0,11,0.000000000000e+00
0,1,11,3.216890586683e-13
0,2,11,2.171791419513e-12
0,3,11,1.344314126144e-11
0,4,11,7.629292010173e-11
0,5,11,3.969799196820e-10
0,6,11,1.893885275402e-09
0,7,11,8.283991063150e-09
0,8,11,3.322204805713e-08
0,9,11,1.221557765176e-07
0,10,11,4.118152657627e-07
0,11,11,1.272892421265e-06
0,12,11,3.607296048412e-06
0,13,11,9.372872246672e-06
0,14,11,2.232875123962e-05
0,15,11,4.877047656207e-05
0,16,11,9.766757159092e-05
0,17,11,1.793265552240e-04
0,18,11,3.018836891615e-04
0,19,11,4.659459245910e-04
0,20,11,6.593745986385e-04
0,21,11,8.555191474153e-04
0,22,11,1.017719466288e-03
0,23,11,1.110010930214e-03
0,24,11,1.110010930214e-03
0,25,11,1.017719466288e-03
0,26,11,8.555191474153e-04
0,27,11,6.593745986385e-04
0,28,11,4.659459245910e-04
0,29,11,3.018836891615e-04
0,30,11,1.793265552240e-04
0,31,11,9.766757159092e-05
0,32,11,4.877047656207e-05
0,33,11,2.232875123962e-05
0,34,11,9.372872246672e-06
0,35,11,3.607296048412e-06
0,36,11,1.272892421265e-06
0,37,11,4.118152657627e-07
0,38,11,1.221557765176e-07
0,39,11,3.322204805713e-08
0,40,11,8.283991063150e-09
0,41,11,1.893885275402e-09
0,42,11,3.969799196820e-10
0,43,11,7.629292010173e-11
0,44,11,1.344314126144e-11
0,45,11,2.171791419513e-12
0,46,11,3.216890586683e-13
0,47,11,0.000000000000e+00
0,0,12,0.000000000000e+00
0,1,12,9.116463031482e-13
0,2,12,6.154718556496e-12
0,3,12,3.809700611026e-11
0,4,12,2.162092762963e-10
0,5,12,1.125015807812e-09
0,6,12,5.367150244568e-09
0,7,12,2.347630304647e-08
0,8,12,9.414916820505e-08
0,9,12,3.461816902677e-07
0,10,12,1.167058233708e-06
0,11,12,3.607296048412e-06
0,12,12,1.022284724420e-05
0,13,12,2.656212296722e-05
0,14,12,6.327825884342e-05
0,15,12,1.382124242728e-04
0,16,12,2.767836772158e-04
0,17,12,5.082000357831e-04
0,18,12,8.555191474153e-04
0,19,12,1.320461073121e-03
0,20,12,1.868625615453e-03
0,21,12,2.424486773788e-03
0,22,12,2.884152146560e-03
0,23,12,3.145700277071e-03
0,24,12,3.145700277071e-03
0,25,12,2.884152146560e-03
